symbol,date,regime,close,rsi14
BTCUSDT,2016-04-05,sideways,424.03,57.42
BTCUSDT,2016-04-06,sideways,423.41,56.53
BTCUSDT,2016-04-07,sideways,422.74,55.52
BTCUSDT,2016-04-08,sideways,420.35,51.96
BTCUSDT,2016-04-09,sideways,419.41,50.59
BTCUSDT,2016-04-10,sideways,421.56,53.61
BTCUSDT,2016-04-11,sideways,422.48,54.88
BTCUSDT,2016-04-12,sideways,425.19,58.48
BTCUSDT,2016-04-13,sideways,423.73,55.9
BTCUSDT,2016-04-14,sideways,424.28,56.67
BTCUSDT,2016-04-15,sideways,429.71,63.52
BTCUSDT,2016-04-16,sideways,430.57,64.48
BTCUSDT,2016-04-17,sideways,427.4,58.39
BTCUSDT,2016-04-18,sideways,428.59,59.92
BTCUSDT,2016-04-19,bull,435.51,67.42
BTCUSDT,2016-04-20,bull,441.39,72.18
BTCUSDT,2016-04-21,bull,449.42,77.1
BTCUSDT,2016-04-22,bull,445.74,70.9
BTCUSDT,2016-04-23,bull,450.28,73.71
BTCUSDT,2016-04-24,bull,458.55,77.89
BTCUSDT,2016-04-25,bull,461.43,79.13
BTCUSDT,2016-04-26,bull,466.09,80.99
BTCUSDT,2016-04-27,sideways,444.69,56.18
BTCUSDT,2016-04-28,bull,449.01,58.92
BTCUSDT,2016-04-29,bull,455.1,62.47
BTCUSDT,2016-04-30,bull,448.32,56.6
BTCUSDT,2016-05-01,bull,451.88,58.79
BTCUSDT,2016-05-02,bull,444.67,52.96
BTCUSDT,2016-05-03,bull,450.3,56.58
BTCUSDT,2016-05-04,bull,446.72,53.75
BTCUSDT,2016-05-05,bull,447.98,54.61
BTCUSDT,2016-05-06,bull,459.6,61.7
BTCUSDT,2016-05-07,bull,458.54,60.76
BTCUSDT,2016-05-08,bull,458.55,60.77
BTCUSDT,2016-05-09,bull,460.48,61.98
BTCUSDT,2016-05-10,bull,450.89,53.19
BTCUSDT,2016-05-11,bull,452.73,54.52
BTCUSDT,2016-05-12,bull,454.77,56.01
BTCUSDT,2016-05-13,bull,455.67,56.69
BTCUSDT,2016-05-14,bull,455.67,56.69
BTCUSDT,2016-05-15,bull,457.57,58.26
BTCUSDT,2016-05-16,bull,454.16,54.45
BTCUSDT,2016-05-17,bull,453.78,54.02
BTCUSDT,2016-05-18,bull,454.62,54.86
BTCUSDT,2016-05-19,sideways,438.71,39.98
BTCUSDT,2016-05-20,sideways,442.68,44.05
BTCUSDT,2016-05-21,sideways,443.19,44.57
BTCUSDT,2016-05-22,sideways,439.32,41.42
BTCUSDT,2016-05-23,sideways,444.15,46.51
BTCUSDT,2016-05-24,sideways,445.98,48.34
BTCUSDT,2016-05-25,sideways,449.6,51.85
BTCUSDT,2016-05-26,sideways,453.38,55.27
BTCUSDT,2016-05-27,bull,473.46,68.19
BTCUSDT,2016-05-28,bull,530.04,83.04
BTCUSDT,2016-05-29,bull,526.23,80.33
BTCUSDT,2016-05-30,bull,533.86,81.62
BTCUSDT,2016-05-31,bull,531.39,79.78
BTCUSDT,2016-06-01,bull,536.92,80.82
BTCUSDT,2016-06-02,bull,537.97,81.02
BTCUSDT,2016-06-03,bull,569.19,85.77
BTCUSDT,2016-06-04,bull,572.73,86.19
BTCUSDT,2016-06-05,bull,574.98,86.46
BTCUSDT,2016-06-06,bull,585.54,87.7
BTCUSDT,2016-06-07,bull,576.6,80.96
BTCUSDT,2016-06-08,bull,581.65,81.81
BTCUSDT,2016-06-09,bull,574.63,76.69
BTCUSDT,2016-06-10,bull,577.47,77.31
BTCUSDT,2016-06-11,bull,606.73,82.47
BTCUSDT,2016-06-12,bull,672.78,88.72
BTCUSDT,2016-06-13,bull,704.38,90.47
BTCUSDT,2016-06-14,bull,685.56,82.28
BTCUSDT,2016-06-15,bull,694.47,83.07
BTCUSDT,2016-06-16,bull,766.31,87.75
BTCUSDT,2016-06-17,bull,748.91,81.84
BTCUSDT,2016-06-18,bull,756.23,82.38
BTCUSDT,2016-06-19,bull,763.78,82.94
BTCUSDT,2016-06-20,bull,737.23,74.01
BTCUSDT,2016-06-21,bull,666.65,56.58
BTCUSDT,2016-06-22,bull,596.12,45.14
BTCUSDT,2016-06-23,bull,623.98,49.49
BTCUSDT,2016-06-24,bull,665.3,55.16
BTCUSDT,2016-06-25,bull,665.12,55.13
BTCUSDT,2016-06-26,bull,629.37,49.55
BTCUSDT,2016-06-27,bull,655.28,53.24
BTCUSDT,2016-06-28,bull,647.0,51.94
BTCUSDT,2016-06-29,bull,639.89,50.78
BTCUSDT,2016-06-30,bull,673.34,55.76
BTCUSDT,2016-07-01,bull,676.3,56.18
BTCUSDT,2016-07-02,bull,703.7,59.99
BTCUSDT,2016-07-03,bull,658.66,51.99
BTCUSDT,2016-07-04,bull,683.66,55.54
BTCUSDT,2016-07-05,bull,670.63,53.33
BTCUSDT,2016-07-06,bull,677.33,54.33
BTCUSDT,2016-07-07,bull,640.56,48.19
BTCUSDT,2016-07-08,bull,666.52,52.29
BTCUSDT,2016-07-09,bull,650.96,49.75
BTCUSDT,2016-07-10,bull,649.36,49.48
BTCUSDT,2016-07-11,bull,647.66,49.18
BTCUSDT,2016-07-12,sideways,664.55,52.29
BTCUSDT,2016-07-13,sideways,654.47,50.31
BTCUSDT,2016-07-14,sideways,658.08,51.03
BTCUSDT,2016-07-15,sideways,663.26,52.09
BTCUSDT,2016-07-16,sideways,660.77,51.51
BTCUSDT,2016-07-17,sideways,679.46,55.51
BTCUSDT,2016-07-18,sideways,673.11,53.89
BTCUSDT,2016-07-19,sideways,672.86,53.82
BTCUSDT,2016-07-20,sideways,665.68,51.83
BTCUSDT,2016-07-21,sideways,665.01,51.64
BTCUSDT,2016-07-22,sideways,650.62,47.57
BTCUSDT,2016-07-23,sideways,655.56,49.05
BTCUSDT,2016-07-24,sideways,661.28,50.79
BTCUSDT,2016-07-25,sideways,654.1,48.55
BTCUSDT,2016-07-26,sideways,651.78,47.82
BTCUSDT,2016-07-27,sideways,654.35,48.74
BTCUSDT,2016-07-28,sideways,655.03,49.0
BTCUSDT,2016-07-29,sideways,656.99,49.78
BTCUSDT,2016-07-30,sideways,655.05,48.98
BTCUSDT,2016-07-31,sideways,624.68,38.53
BTCUSDT,2016-08-01,sideways,606.27,33.82
BTCUSDT,2016-08-02,sideways,547.47,23.81
BTCUSDT,2016-08-03,sideways,566.35,30.88
BTCUSDT,2016-08-04,sideways,578.29,34.99
BTCUSDT,2016-08-05,sideways,575.04,34.39
BTCUSDT,2016-08-06,sideways,587.78,38.82
BTCUSDT,2016-08-07,sideways,592.69,40.49
BTCUSDT,2016-08-08,sideways,591.05,40.09
BTCUSDT,2016-08-09,sideways,587.8,39.28
BTCUSDT,2016-08-10,sideways,592.1,40.99
BTCUSDT,2016-08-11,sideways,589.12,40.14
BTCUSDT,2016-08-12,sideways,587.56,39.68
